name,dogFriendly,groceryStores,neighborsFriendly,parkingEasy,yard,communityEvents,sidewalks,walkNight,fiveYears,kidsOutside,car,restaurants,streets,holiday,quiet,wildlife
neighborhood628,0.18,0.10,0.88,0.08,0.18,0.30,0.62,0.98,0.89,0.58,0.38,0.62,0.47,0.98,0.77,0.69
neighborhood629,0.04,0.54,0.75,0.94,0.61,0.50,0.23,0.47,0.69,0.67,0.44,0.97,0.87,0.10,0.42,0.33
neighborhood630,0.70,1.00,0.87,0.52,0.00,0.83,0.90,0.61,0.54,0.40,0.65,0.66,0.05,0.14,0.48,0.02
neighborhood631,0.01,0.53,0.42,0.61,0.59,0.07,0.14,0.02,0.70,0.01,0.46,0.63,0.50,0.28,0.49,0.30
neighborhood632,0.56,0.63,0.44,0.47,0.63,0.60,0.45,0.79,0.04,0.02,0.58,0.98,0.38,0.20,0.98,0.46
neighborhood633,0.74,0.91,0.48,0.66,0.92,0.39,0.83,0.46,0.06,0.99,0.33,0.94,0.17,0.82,0.27,0.31
neighborhood634,0.97,0.93,0.98,0.85,0.20,0.44,0.04,0.48,0.29,0.13,0.18,0.05,0.17,0.75,0.73,0.96
neighborhood635,0.05,0.11,0.18,0.42,0.56,0.25,0.60,0.30,0.24,0.54,0.23,0.91,0.48,0.60,0.83,0.73
neighborhood636,0.84,0.48,0.59,0.27,0.78,0.15,0.19,0.24,0.97,0.40,0.24,0.30,0.39,0.83,0.99,0.73
neighborhood637,0.49,0.57,0.41,0.34,0.76,0.53,0.30,0.07,0.22,0.77,0.10,0.85,0.10,0.78,0.10,0.16
neighborhood638,0.83,0.92,0.89,0.95,0.88,0.10,0.75,0.89,0.67,0.32,0.47,0.20,0.36,0.80,0.13,0.90
neighborhood639,0.10,0.68,0.47,0.81,0.13,0.41,0.46,0.33,0.92,0.36,0.62,0.44,0.75,0.95,0.54,0.74
neighborhood640,0.64,0.73,0.28,0.26,0.82,0.42,0.04,0.80,0.61,0.71,0.53,0.33,0.79,0.49,0.61,0.21
neighborhood641,0.89,0.18,0.57,0.69,0.47,0.24,0.45,0.76,0.96,0.95,0.65,0.84,0.25,0.25,0.05,0.55
neighborhood642,0.97,0.83,0.58,0.38,0.04,0.46,0.23,0.76,0.57,0.74,0.37,0.92,0.02,0.90,0.94,0.59
neighborhood643,0.67,0.04,0.87,0.70,0.54,0.71,0.58,0.04,0.35,0.26,0.53,0.87,0.03,0.59,0.91,0.70
neighborhood644,0.07,0.44,1.00,0.25,0.78,0.13,0.81,0.19,0.78,0.94,0.47,0.39,0.97,0.28,0.78,0.79
neighborhood645,0.20,0.10,0.48,0.72,0.43,0.91,0.65,0.63,0.82,0.46,0.47,0.36,0.98,0.04,0.68,0.82
neighborhood646,0.84,0.48,0.95,0.57,0.72,0.98,0.95,0.82,0.71,0.10,0.23,0.64,0.43,0.03,0.16,0.05
neighborhood647,0.77,0.48,0.67,0.61,0.15,0.53,0.88,0.75,0.42,0.96,0.14,0.64,0.42,0.82,0.12,0.74
neighborhood648,0.61,0.39,0.45,0.93,0.59,0.71,0.49,0.76,0.07,0.45,0.17,0.62,0.78,0.71,0.81,0.80
neighborhood649,0.95,0.84,0.73,0.82,0.76,0.78,0.22,0.45,0.46,0.24,0.16,0.65,0.87,0.73,0.28,0.43
neighborhood650,0.44,0.87,0.40,0.68,0.36,0.43,0.28,0.31,0.61,0.15,0.55,0.96,0.58,0.66,0.05,0.06
neighborhood651,0.97,0.28,0.35,0.29,0.21,0.60,0.26,0.89,0.02,0.52,0.85,0.11,0.36,0.62,0.02,0.06
neighborhood652,0.45,0.94,0.64,0.98,0.51,0.01,0.91,0.84,0.50,0.51,0.96,0.07,0.87,0.42,0.30,0.39
neighborhood653,0.76,0.17,0.45,0.44,0.37,0.60,0.39,0.47,0.09,0.83,0.06,0.21,0.89,0.96,0.46,0.32
neighborhood654,0.54,0.40,0.44,0.35,0.32,0.94,0.07,0.58,0.93,0.35,0.58,0.78,0.91,0.64,0.28,0.91
neighborhood655,0.17,0.35,0.99,0.68,0.13,0.56,0.03,0.83,0.94,0.72,0.89,0.72,0.49,0.23,0.24,0.87
neighborhood656,0.75,0.44,0.21,0.21,0.80,0.03,0.79,0.22,0.27,0.95,0.87,0.62,0.79,0.01,0.51,0.93
neighborhood657,0.31,0.49,1.00,0.93,0.23,0.60,0.44,0.61,0.95,0.57,0.92,0.36,0.26,0.15,0.26,0.97
neighborhood658,0.87,0.13,0.58,0.54,0.04,0.10,0.39,0.79,0.80,0.68,0.15,0.20,0.64,0.10,0.40,0.47
neighborhood659,0.34,0.29,0.37,1.00,0.44,0.96,0.20,0.47,0.50,0.42,0.50,0.75,0.39,0.84,0.51,0.06
neighborhood660,0.24,0.10,0.53,0.71,0.59,0.88,0.64,0.35,0.30,0.36,0.89,0.65,0.35,0.97,0.08,0.95
neighborhood661,0.65,0.05,0.31,0.20,0.17,0.35,0.42,0.97,0.49,0.68,0.58,0.46,0.59,0.11,0.97,0.46
neighborhood662,0.07,0.71,0.22,0.88,0.24,0.65,0.30,0.59,0.27,0.23,0.64,0.14,0.46,0.64,0.55,0.74
neighborhood663,0.87,0.95,0.15,0.81,0.29,0.24,0.07,0.52,0.35,0.24,0.77,0.84,1.00,0.67,0.50,0.00
neighborhood664,0.60,0.25,0.42,0.07,0.83,0.03,0.11,0.81,0.76,0.62,0.54,0.77,0.67,0.64,0.18,0.78
neighborhood665,0.88,0.24,0.04,0.40,0.13,0.82,0.04,0.31,0.56,0.13,0.24,0.40,0.49,0.83,0.98,0.66
neighborhood666,0.48,0.52,0.70,0.96,0.84,0.83,0.63,0.12,0.21,0.88,0.08,0.28,0.67,0.66,0.04,0.89
neighborhood667,0.05,0.47,0.89,0.86,0.47,0.96,0.20,0.12,0.38,0.98,0.44,0.72,0.00,0.08,0.27,0.58
neighborhood668,0.27,0.06,0.32,0.05,0.45,0.54,0.94,0.00,0.23,0.02,0.81,0.18,0.08,0.31,0.29,0.93
neighborhood669,0.96,0.17,0.01,0.73,0.99,0.76,0.06,0.94,0.50,0.99,0.68,0.09,0.95,0.33,0.68,0.37
neighborhood670,0.46,0.58,0.42,0.66,0.64,0.07,0.88,0.69,0.22,0.64,0.30,0.19,0.68,0.28,0.09,0.24
neighborhood671,0.21,0.45,0.58,0.83,0.00,0.10,0.40,0.74,0.02,0.06,0.07,1.00,0.63,0.10,0.44,0.99
neighborhood672,0.01,0.08,0.18,0.04,0.04,0.51,0.81,0.59,0.91,0.39,0.88,0.26,0.92,0.83,0.12,0.83
neighborhood673,0.92,0.18,0.04,0.86,0.32,0.25,0.21,0.25,0.46,0.42,0.44,0.53,0.96,0.40,0.79,1.00
neighborhood674,0.15,0.62,0.32,0.36,0.47,0.54,0.32,0.69,0.25,0.02,0.33,0.60,0.41,0.75,0.35,0.26
neighborhood675,0.40,0.44,0.98,0.38,0.74,0.17,0.96,0.10,0.36,0.86,0.94,0.69,0.61,0.94,0.38,0.69
neighborhood676,0.60,0.82,0.18,0.03,0.51,0.91,0.36,0.56,0.72,0.53,0.43,0.16,0.65,0.25,0.35,0.87
neighborhood677,0.54,0.17,0.64,0.23,0.49,0.67,0.16,0.82,0.83,0.89,0.20,0.40,0.79,0.24,0.70,0.53
neighborhood678,0.08,0.88,0.65,0.15,0.49,0.47,0.77,0.48,0.29,0.27,0.05,0.41,0.04,0.31,0.76,0.70
neighborhood679,0.10,0.53,0.88,0.93,0.09,0.19,0.76,0.44,0.11,0.84,0.69,0.23,1.00,0.37,0.65,0.90
neighborhood680,0.31,0.99,0.50,0.98,0.09,0.12,0.90,0.17,0.50,0.70,1.00,0.71,0.71,0.18,0.65,0.09
neighborhood681,0.33,0.60,0.38,0.00,0.04,0.23,0.18,0.69,0.32,0.76,0.97,0.27,0.31,0.68,0.21,0.82
neighborhood682,0.56,0.91,0.93,0.01,0.74,0.26,0.43,0.29,0.84,0.17,0.85,0.26,0.87,0.23,0.96,0.00
neighborhood683,0.57,0.81,0.64,0.06,0.84,0.04,0.58,0.98,0.93,0.64,0.70,0.39,0.05,0.01,0.42,0.24
neighborhood684,0.01,0.24,0.71,0.83,0.76,0.69,0.46,0.38,0.19,0.33,0.05,0.92,0.46,0.15,0.58,0.72
neighborhood685,0.09,0.28,0.96,0.61,0.40,0.80,0.66,0.63,0.91,0.95,0.59,0.39,0.62,0.64,0.83,0.18
neighborhood686,0.88,0.22,0.10,0.70,0.64,0.86,0.46,0.55,0.55,0.10,0.03,0.39,0.32,0.73,0.65,0.94
neighborhood687,0.94,0.52,0.40,0.06,0.99,0.40,0.21,0.41,0.79,0.17,0.07,0.63,0.25,0.37,0.56,0.44
neighborhood688,0.42,0.92,0.74,0.66,0.18,0.31,0.40,0.64,0.45,0.64,0.31,1.00,0.29,0.52,0.85,0.46
neighborhood689,0.93,0.22,0.51,0.16,0.42,0.66,0.71,0.38,0.27,0.89,0.91,0.96,0.71,0.49,0.64,0.29
neighborhood690,0.17,0.60,0.88,0.73,0.96,0.48,0.09,0.09,0.68,0.45,0.04,0.81,0.72,0.69,1.00,0.55
neighborhood691,0.78,0.39,0.67,0.60,0.93,0.28,0.16,0.97,0.63,0.79,0.48,0.19,0.13,0.99,0.83,0.51
neighborhood692,0.50,0.30,0.86,0.73,0.71,0.73,0.78,0.35,0.84,0.35,0.39,0.28,0.73,0.99,0.67,0.22
neighborhood693,0.29,0.04,0.46,0.70,0.80,0.30,0.55,0.24,0.33,0.92,0.70,0.95,0.38,0.69,0.02,0.44
neighborhood694,0.52,0.10,0.50,0.67,0.23,0.81,0.85,0.84,0.42,0.82,0.64,0.44,0.84,0.76,0.84,0.52
neighborhood695,0.50,0.32,0.67,0.58,0.38,0.65,0.65,0.25,0.43,0.61,0.29,0.14,0.06,0.10,0.57,0.90
neighborhood696,0.91,0.95,0.41,0.16,0.11,0.32,0.24,0.92,0.33,0.88,0.55,0.98,0.48,0.69,0.03,0.58
neighborhood697,0.08,0.29,0.96,0.53,0.97,0.52,0.96,0.84,0.55,0.08,0.98,0.85,0.24,0.02,0.31,0.40
neighborhood698,0.94,0.03,0.10,0.30,0.21,0.78,0.73,0.73,0.73,0.78,0.68,0.30,0.93,0.89,1.00,0.53
neighborhood699,0.82,0.23,0.04,0.58,0.25,0.37,0.19,0.11,0.46,0.20,0.65,0.80,0.11,0.90,0.05,0.59
neighborhood700,0.67,0.26,0.84,0.92,0.05,0.49,0.11,0.99,0.97,0.58,0.74,0.54,0.78,0.85,0.99,0.71
neighborhood701,0.04,0.63,0.68,0.56,0.25,0.05,0.15,0.79,0.72,0.95,0.37,0.13,0.97,0.49,0.88,0.41
neighborhood702,0.89,0.76,0.35,0.72,0.05,0.11,0.00,0.91,0.28,0.74,0.12,0.84,0.46,0.47,0.99,0.25
neighborhood703,0.00,0.50,0.66,0.26,0.91,0.93,0.02,0.03,0.37,0.52,0.79,0.02,0.14,0.61,0.15,0.44
neighborhood704,0.98,0.35,0.62,0.62,0.35,0.89,0.03,0.34,0.04,0.54,0.76,0.77,0.65,0.77,0.21,0.28
neighborhood705,0.86,0.37,0.93,0.40,0.88,0.56,0.77,0.36,0.85,0.68,0.61,0.22,0.41,0.32,0.64,0.10
neighborhood706,0.24,0.99,0.47,0.66,0.42,0.55,0.95,0.21,0.97,0.27,0.77,0.65,0.32,0.61,0.96,0.02
neighborhood707,0.29,0.87,0.76,0.36,0.57,0.09,0.42,0.01,0.05,0.76,0.18,0.77,0.01,0.43,0.87,0.22
neighborhood708,0.82,0.75,0.70,0.68,0.90,0.12,1.00,0.17,0.00,0.53,0.56,0.40,0.45,0.13,0.62,0.79
neighborhood709,0.79,0.83,0.21,0.61,0.07,0.59,0.75,0.17,0.67,0.76,0.08,0.63,0.42,0.67,0.06,0.11
neighborhood710,0.81,0.24,0.74,0.65,0.39,0.07,0.14,0.27,0.96,0.15,0.99,0.36,0.42,0.28,0.79,0.30
neighborhood711,0.01,0.46,0.33,0.31,0.11,0.98,0.94,0.10,0.68,0.83,0.53,0.20,0.74,0.55,0.88,0.07
neighborhood712,0.90,0.02,0.82,0.09,0.20,0.68,0.54,0.90,0.41,0.51,0.94,0.35,0.36,0.65,0.23,0.12
neighborhood713,0.41,0.17,0.54,0.76,0.29,0.37,0.97,0.84,0.20,0.92,0.21,0.35,0.27,0.27,0.64,0.62
neighborhood714,0.57,0.01,0.21,0.13,0.01,0.68,0.66,0.40,0.40,0.66,0.90,0.20,0.52,0.04,0.53,0.26
neighborhood715,0.56,0.59,0.22,0.09,0.46,0.29,0.10,0.81,0.05,0.89,0.75,0.56,0.52,0.28,0.80,0.10
neighborhood716,0.85,0.95,0.32,0.82,0.23,0.42,0.66,0.47,0.82,0.38,0.46,0.94,0.51,0.41,0.39,0.89
neighborhood717,0.04,0.50,0.44,0.86,0.36,0.39,0.64,0.76,0.70,0.68,0.88,0.90,0.14,0.45,0.64,0.67
neighborhood718,0.40,0.18,0.58,0.35,0.94,0.94,0.79,0.83,0.19,0.71,0.18,0.42,0.69,0.68,0.17,0.67
neighborhood719,0.52,0.84,0.55,0.98,0.63,0.13,0.62,0.63,0.54,0.16,0.91,0.03,0.61,0.80,0.95,0.17
neighborhood720,0.73,0.59,0.50,0.96,0.57,0.55,0.46,0.71,0.31,0.67,0.49,0.28,0.90,0.18,0.91,0.56
neighborhood721,0.90,0.01,0.75,0.62,0.44,0.53,0.18,0.68,0.46,0.91,0.83,0.26,0.44,0.76,0.23,0.66
neighborhood722,0.49,0.48,0.60,0.49,0.56,0.95,0.54,0.71,0.56,0.37,0.89,0.07,0.98,0.84,0.34,0.69
neighborhood723,0.27,0.89,0.70,0.88,0.45,0.97,0.48,0.60,0.93,0.81,0.32,0.18,0.30,0.87,0.17,0.37
neighborhood724,0.24,0.37,0.79,0.22,0.52,0.23,0.06,0.53,0.88,0.61,0.78,0.01,0.98,0.65,0.31,0.70
neighborhood725,0.24,0.10,0.84,0.76,0.99,0.91,0.31,0.39,0.46,0.43,0.21,0.23,0.23,0.44,0.13,0.74
neighborhood726,0.93,0.79,0.72,0.31,0.06,0.40,0.81,0.55,0.72,0.53,0.67,0.80,0.49,0.91,0.60,0.69
neighborhood727,0.43,0.93,0.12,0.18,0.91,0.38,0.26,0.57,0.55,0.18,0.07,0.04,0.11,0.99,0.76,0.18
neighborhood728,0.89,0.04,0.11,0.97,0.22,0.82,0.72,0.60,0.68,0.63,0.44,0.56,0.80,0.71,0.30,0.08
neighborhood729,0.27,0.74,0.45,0.82,0.39,0.55,0.66,0.51,0.88,0.05,0.18,0.42,0.37,0.99,0.38,0.59
neighborhood730,0.17,0.41,0.19,0.05,0.84,0.94,0.30,0.90,0.74,0.03,0.36,0.77,0.42,0.57,0.71,0.27
neighborhood731,0.14,0.34,0.72,0.20,0.42,0.63,0.54,0.02,0.65,0.26,0.05,0.90,0.74,0.61,0.15,0.00
neighborhood732,0.27,0.61,0.28,0.43,0.80,0.29,0.65,0.71,0.04,0.96,0.45,0.99,0.81,0.72,0.04,0.74
neighborhood733,0.46,0.30,0.57,0.26,0.13,0.65,0.19,0.13,0.89,0.42,0.58,0.87,0.81,0.69,0.69,0.57
neighborhood734,0.60,0.04,0.95,0.68,0.42,0.35,0.86,0.28,0.05,0.02,0.30,0.90,0.80,0.48,0.70,0.51
neighborhood735,0.46,0.78,0.93,0.03,0.88,0.57,0.44,0.58,0.76,0.96,0.53,0.58,0.93,0.44,0.59,0.85
neighborhood736,0.93,0.98,0.47,0.52,0.70,0.97,0.25,0.95,0.71,0.11,0.70,0.82,0.61,0.90,0.48,0.19
neighborhood737,0.62,0.77,0.63,0.36,0.28,0.05,0.16,0.55,0.87,0.26,0.20,0.23,0.78,0.55,0.12,0.42
neighborhood738,0.86,0.76,0.62,0.55,0.52,0.81,0.61,0.02,0.97,0.65,0.42,0.65,0.93,0.56,0.31,0.90
neighborhood739,0.08,0.77,0.29,0.88,0.56,0.82,0.57,0.90,0.14,0.18,0.51,0.87,0.87,0.79,0.93,0.41
neighborhood740,0.81,0.41,0.18,0.23,0.13,0.89,0.80,0.10,0.36,0.80,0.67,0.30,0.22,0.49,0.01,0.67
neighborhood741,0.46,0.65,0.24,0.82,0.60,0.02,0.72,0.97,0.84,0.77,0.66,0.52,0.21,0.99,0.17,0.46
neighborhood742,0.65,0.12,0.92,1.00,0.58,0.79,0.09,0.31,0.08,0.31,0.46,0.76,0.02,0.19,0.87,0.83
neighborhood743,0.40,0.20,0.98,0.44,0.88,0.70,0.42,0.10,0.09,0.39,0.30,0.11,0.61,0.27,0.17,0.99
neighborhood744,0.50,0.99,0.87,0.89,0.09,0.83,0.06,0.69,0.43,0.89,0.89,0.10,0.88,0.09,0.45,0.49
neighborhood745,0.89,0.55,0.34,0.81,0.74,0.74,0.20,0.15,0.58,0.99,0.50,0.63,0.23,0.17,0.30,0.16
neighborhood746,0.68,0.02,0.99,0.98,0.44,0.94,0.82,0.84,0.28,0.29,0.27,0.63,0.80,0.13,0.24,0.57
neighborhood747,0.70,0.63,0.97,0.48,0.44,0.01,0.64,0.78,0.41,0.92,0.88,0.96,0.54,0.65,0.09,0.01
neighborhood748,0.76,0.78,0.46,0.67,0.25,0.88,0.57,0.08,0.64,0.85,0.36,0.10,0.19,0.09,0.49,0.53
neighborhood749,0.31,0.23,0.89,0.15,0.81,0.66,0.91,0.79,0.20,0.95,0.79,0.01,0.13,0.92,0.99,0.08
neighborhood750,0.77,0.35,0.63,0.94,0.01,0.66,0.90,0.26,0.90,0.80,0.32,0.03,0.66,0.42,0.27,0.71
neighborhood751,0.26,0.79,0.25,0.75,0.02,0.01,0.76,0.37,0.61,0.97,0.34,0.93,0.72,0.31,0.16,0.60
neighborhood752,0.26,0.19,0.94,0.45,0.20,0.12,0.44,0.30,0.85,0.62,0.96,0.54,0.31,0.37,0.24,0.15
neighborhood753,0.90,0.39,0.65,0.52,0.00,0.43,0.31,0.07,0.75,0.51,0.30,0.94,0.23,0.55,0.01,0.06
neighborhood754,0.81,0.18,0.29,0.72,0.43,0.20,0.48,0.07,0.60,0.45,0.07,0.37,0.99,0.82,0.01,0.00
neighborhood755,1.00,0.14,0.61,0.05,0.80,0.82,0.61,0.09,0.51,0.49,0.12,0.69,0.17,0.86,0.07,0.30
neighborhood756,0.65,0.60,0.89,0.33,0.64,0.99,0.97,0.46,0.17,0.76,0.69,0.65,0.22,0.08,0.49,0.29
neighborhood757,0.43,0.36,0.91,0.57,0.77,0.91,0.44,0.96,0.89,0.86,0.58,0.84,0.36,0.40,0.41,0.84
neighborhood758,0.31,0.67,0.49,0.87,0.74,0.96,0.60,0.10,0.41,0.77,0.93,0.16,0.13,0.79,0.04,0.38
neighborhood759,0.16,0.15,0.17,0.39,0.90,0.11,0.57,0.99,0.17,0.47,0.83,0.41,0.25,0.81,0.71,0.85
neighborhood760,0.99,0.98,0.16,0.59,0.07,0.49,0.62,0.95,0.75,0.91,0.12,0.87,0.46,0.78,0.69,0.97
neighborhood761,0.84,0.61,0.08,0.23,0.56,0.05,0.41,0.62,0.70,0.07,0.29,0.65,0.88,0.77,0.00,0.63
neighborhood762,0.81,0.79,0.79,0.58,0.01,0.40,0.95,0.73,0.71,0.44,0.44,0.21,0.42,0.22,0.30,0.08
neighborhood763,0.97,0.89,0.38,0.27,0.99,0.55,0.76,0.27,0.39,0.41,0.93,0.72,0.63,0.09,0.17,0.55
neighborhood764,0.97,0.41,0.90,0.32,0.09,0.81,0.23,0.88,0.17,0.67,0.60,0.64,0.64,0.52,0.32,0.91
neighborhood765,0.92,0.39,0.23,0.33,0.95,0.24,0.16,0.05,0.43,0.55,0.63,0.79,0.26,0.01,0.16,0.96
neighborhood766,0.87,0.84,0.40,0.90,0.64,0.52,0.65,0.54,0.56,0.03,0.57,0.93,0.07,0.15,0.45,0.75
neighborhood767,0.60,0.70,0.67,0.19,0.12,0.19,0.46,0.20,0.02,0.49,0.69,0.75,0.11,0.84,0.40,0.33
neighborhood768,0.20,0.59,0.43,0.85,1.00,0.67,0.24,0.24,0.75,0.34,0.43,0.24,0.87,0.37,0.93,0.34
neighborhood769,0.06,0.51,0.21,0.67,0.23,0.57,1.00,0.82,0.64,0.06,0.43,0.88,0.44,0.71,0.97,0.62
neighborhood770,0.08,0.01,0.72,0.44,0.07,0.99,0.80,0.20,0.14,0.92,0.68,0.47,0.25,0.89,0.73,0.99
neighborhood771,0.52,0.80,0.66,0.96,0.05,0.26,0.42,0.15,0.43,0.42,0.36,0.65,0.83,0.46,0.88,0.36
neighborhood772,0.33,0.33,0.65,0.98,0.34,0.72,0.12,0.72,0.50,0.61,0.88,0.48,0.40,0.70,0.67,0.49
neighborhood773,0.17,0.47,0.81,0.86,0.44,0.23,0.82,0.46,0.14,0.45,0.19,0.81,0.23,0.06,0.58,0.30
neighborhood774,0.34,0.36,0.81,0.16,0.15,0.98,0.76,0.51,0.84,0.13,0.48,0.33,0.91,0.79,0.24,0.45
neighborhood775,0.04,0.48,0.47,0.32,0.61,0.63,0.41,0.12,0.21,0.63,0.18,0.55,0.10,0.75,0.09,0.67
neighborhood776,0.98,0.72,0.32,0.08,0.25,0.78,0.17,0.87,0.22,0.04,0.24,0.26,0.77,0.86,0.70,0.01
neighborhood777,0.75,0.98,0.04,0.69,0.55,0.87,0.57,0.17,0.41,0.96,0.34,0.43,0.04,0.99,0.45,0.18
neighborhood778,0.23,0.98,0.34,0.63,0.13,0.14,0.69,0.23,0.47,0.95,0.12,0.66,0.03,0.43,0.67,0.16
neighborhood779,0.44,0.56,0.45,0.51,0.66,0.66,0.72,0.63,0.55,0.77,0.26,0.88,0.11,0.50,0.27,0.48
neighborhood780,0.81,0.64,0.83,0.63,0.43,0.54,0.57,0.16,0.64,0.14,0.29,0.67,0.43,0.14,0.96,0.57
neighborhood781,0.89,0.57,0.23,0.72,0.33,0.38,0.44,0.52,0.06,0.56,0.95,0.82,0.58,0.12,0.72,0.34
neighborhood782,0.69,0.87,0.53,0.45,0.85,0.03,0.07,0.47,0.82,0.32,0.08,0.63,0.22,0.03,0.47,0.74
neighborhood783,0.53,0.43,0.90,0.04,0.63,0.22,0.47,0.01,0.95,0.23,0.29,0.97,0.31,0.27,0.74,0.86
neighborhood784,0.73,0.47,0.44,0.53,0.80,0.44,0.65,0.79,0.58,0.04,0.07,0.43,0.12,0.76,0.14,0.89
neighborhood785,0.78,0.09,0.68,0.69,0.18,0.75,0.56,0.76,0.65,0.40,0.49,0.77,0.05,0.06,0.08,0.28
neighborhood786,0.31,0.67,0.77,0.81,0.11,0.90,0.46,0.65,0.81,0.29,0.30,0.09,0.94,0.22,0.35,0.84
neighborhood787,0.64,0.75,0.59,0.96,0.31,0.94,0.11,0.21,0.89,0.97,0.25,0.54,0.68,0.56,0.70,0.44
neighborhood788,0.55,0.66,0.95,0.13,0.98,0.13,0.78,0.82,0.87,0.71,0.80,0.99,0.62,0.45,0.25,0.87
neighborhood789,0.42,0.32,0.53,0.87,0.48,0.48,0.10,0.95,0.11,0.46,0.60,0.97,0.99,0.15,0.67,0.74
neighborhood790,0.37,0.59,0.21,0.39,0.56,0.64,0.99,0.75,0.78,0.18,0.05,0.68,0.25,0.71,0.98,0.35
neighborhood791,0.83,0.63,0.61,0.43,0.46,0.45,0.59,0.90,0.18,0.68,0.46,0.34,0.33,0.60,0.60,0.80
neighborhood792,0.71,0.95,0.62,0.62,0.46,0.51,0.19,0.06,0.46,0.12,0.08,0.49,0.63,0.82,0.36,0.22
neighborhood793,0.14,0.80,0.90,0.58,0.83,0.44,0.51,0.95,0.53,0.83,0.67,0.63,0.78,0.26,0.61,0.84
neighborhood794,0.62,0.61,0.83,0.83,0.78,0.85,0.11,0.06,0.72,0.35,0.31,0.46,0.12,0.79,0.45,0.56
neighborhood795,0.05,0.71,0.03,0.90,0.91,0.11,0.81,0.68,0.44,1.00,0.05,0.95,0.84,0.54,0.28,0.43
neighborhood796,0.33,0.58,0.96,0.35,0.84,0.06,0.56,0.27,0.26,0.32,0.69,0.59,0.10,0.43,0.49,0.70
neighborhood797,0.79,0.50,0.09,0.37,0.82,0.97,0.01,0.55,0.48,0.54,0.98,0.29,0.52,0.66,0.56,0.31
neighborhood798,0.46,0.02,0.62,0.88,0.13,0.52,0.86,0.32,0.49,0.84,0.33,0.60,0.68,0.37,0.17,0.10
neighborhood799,0.98,0.88,0.53,0.21,0.27,0.57,0.02,0.91,0.49,0.94,0.78,0.65,0.24,0.64,0.50,0.51
neighborhood800,0.55,0.60,0.83,0.56,0.24,0.52,0.69,0.49,0.30,0.57,0.41,0.44,0.83,0.86,0.26,0.30
neighborhood801,0.56,0.26,0.42,0.57,0.51,0.28,0.58,0.06,0.68,0.26,0.62,0.30,0.28,0.37,0.35,0.41
neighborhood802,0.82,0.62,0.67,0.03,0.86,0.35,0.69,0.39,0.90,0.65,0.12,0.18,0.83,0.13,0.40,0.60
neighborhood803,0.85,0.74,0.65,0.12,0.11,0.46,0.97,0.51,0.24,0.43,0.09,0.00,0.67,0.14,0.96,0.67
neighborhood804,0.70,0.86,0.57,0.28,0.40,0.30,0.85,0.10,0.64,0.74,0.33,0.60,0.05,0.07,0.37,0.61
neighborhood805,0.29,0.91,0.08,0.35,0.94,0.37,0.16,0.83,0.46,0.25,0.61,0.41,0.33,0.66,0.69,0.60
neighborhood806,0.21,0.01,0.23,0.57,0.03,0.12,0.28,0.18,0.28,0.99,0.93,0.01,0.11,0.41,0.48,0.78
neighborhood807,0.41,0.62,0.55,0.51,0.92,0.11,0.46,0.62,0.75,0.45,0.64,0.45,0.22,0.92,0.50,0.26
neighborhood808,0.05,0.46,0.57,0.85,0.19,0.75,0.41,0.22,0.56,0.19,0.55,0.40,0.20,0.81,0.53,0.87
neighborhood809,0.99,0.13,0.51,0.23,0.86,0.37,0.98,0.16,0.86,0.18,0.23,0.96,0.34,0.78,0.45,0.57
neighborhood810,0.80,0.98,0.19,0.70,0.02,0.78,0.83,0.68,0.84,0.38,0.99,0.95,0.42,0.46,0.17,0.32
neighborhood811,0.12,0.01,0.96,0.58,0.68,0.64,0.44,0.94,0.89,0.22,0.49,0.90,0.96,0.55,0.70,0.41
neighborhood812,0.23,0.20,0.77,0.95,0.29,0.19,0.05,0.87,0.08,0.87,0.49,0.91,0.89,0.90,0.22,0.57
neighborhood813,0.14,0.34,0.37,0.85,0.60,0.54,0.21,0.91,0.88,0.13,0.03,0.20,0.29,0.43,0.86,0.21
neighborhood814,0.49,0.66,0.02,0.53,0.48,0.73,0.07,0.28,0.82,0.32,0.80,0.76,0.96,0.10,0.71,0.80
neighborhood815,0.59,0.67,0.27,0.96,0.26,0.85,0.41,0.70,0.23,0.32,0.52,0.29,0.78,0.99,0.53,0.58
neighborhood816,0.19,0.66,0.77,0.70,0.81,0.84,0.22,0.27,0.48,0.56,0.46,0.67,0.40,0.01,0.78,0.92
neighborhood817,0.56,0.77,0.09,0.74,0.41,0.41,0.62,0.02,0.37,0.49,0.63,0.55,0.32,0.08,0.05,0.92
neighborhood818,0.62,1.00,0.97,0.74,0.68,0.16,0.77,0.51,0.52,0.29,0.13,0.28,0.75,0.34,0.67,0.68
neighborhood819,0.44,0.39,0.01,0.55,0.66,0.88,0.68,0.75,0.39,0.91,0.38,0.06,0.80,0.75,0.69,0.05
neighborhood820,0.56,0.60,0.10,0.43,0.87,0.28,0.62,0.24,0.11,0.77,0.67,0.77,0.61,0.35,0.93,0.69
neighborhood821,0.94,0.11,0.76,0.24,0.97,0.86,0.69,0.39,0.91,0.31,0.18,0.56,0.49,0.33,0.59,0.29
neighborhood822,0.34,0.82,0.29,0.75,0.90,0.53,0.16,0.59,0.12,0.10,0.53,0.87,0.63,0.36,0.94,0.52
